Prefix	Count
EDP	1587
GLP	1548
HRZ	759
TRK	697
ATL	593
MAK	359
FCT	237
HLX	221
REP	204
IBD	181
PRI	161
MOT	159
GLG	134
MLT	109
DTE	75
EML	75
SEG	72
KLS	69
EVC	51
ECI	48
FAC	38
HEX	38
LOG	33
LCG	32
CPS	30
PLG	30
MOO	26
EMA	25
HGP	25
ENB	23
EVP	22
GEN	21
ITV	21
CME	20
VEI	20
IOY	18
EVI	16
GRN	16
EZC	15
REM	15
CAP	14
ALF	13
CIR	12
LUZ	11
GLD	9
ACC	8
CSC	8
BEL	7
NRG	7
EGR	6
IHM	6
VIA	6
VIS	6
BLU	5
FRR	5
GSF	5
IMG	5
MOA	5
MOB	5
CEV	4
CGG	4
EVA	4
NEU	4
SLX	4
AUC	3
CON	3
GRC	3
SCR	3
BRI	2
EMT	2
EPO	2
EZU	2
INT	2
PAR	2
PRP	2
PTE	2
SDB	2
SFF	2
SGM	2
SLV	2
WEN	2
ZUN	2
ENE	1
FRI	1
IVP	1
KPM	1
MEO	1
PAC	1
SAR	1
